,Facts,Rules,Inference,Label,TemplateType
74,Mary painted the box with red color. John colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,true,Type1-Colormixing
75,Mary painted the box with red color. John colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,false,Type1-Colormixing
76,Mary painted the box with red color. John colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
77,Mary painted the box with red color. John colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears violet in colour.,false,Type1-Colormixing
78,Mary painted the box with red color. John colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
79,Mary painted the box with red color. John colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears orange in colour.,false,Type1-Colormixing
80,Mary painted the box with red color. John colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
81,Mary painted the box with red color. John colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears brown in colour.,false,Type1-Colormixing
82,Mary painted the box with brown color. John colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
83,Mary painted the box with brown color. John colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears brown in colour.,false,Type1-Colormixing
84,Mary painted the box with brown color. John colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
85,Mary painted the box with brown color. John colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears violet in colour.,false,Type1-Colormixing
86,Mary painted the box with orange color. John colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
87,Mary painted the box with orange color. John colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears brown in colour.,false,Type1-Colormixing
88,Mary painted the box with orange color. John colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
89,Mary painted the box with orange color. John colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,false,Type1-Colormixing
90,Mary painted the box with orange color. John colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
91,Mary painted the box with orange color. John colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears orange in colour.,false,Type1-Colormixing
92,Mary painted the box with black color. John colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
93,Mary painted the box with black color. John colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears red in colour.,false,Type1-Colormixing
94,Mary painted the box with white color. John colored the box using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
95,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears orange in colour.,false,Type1-Colormixing
96,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
97,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
98,Mary painted the wall with blue color. John colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
99,Mary painted the wall with blue color. John colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears violet in colour.,false,Type1-Colormixing
100,Mary painted the wall with blue color. John colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
101,Mary painted the wall with blue color. John colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears green in colour.,false,Type1-Colormixing
102,Mary painted the wall with blue color. John colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
103,Mary painted the wall with blue color. John colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears violet in colour.,false,Type1-Colormixing
104,Mary painted the wall with yellow color. John colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
105,Mary painted the wall with yellow color. John colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
106,Mary painted the wall with yellow color. John colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
107,Mary painted the wall with yellow color. John colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
108,Mary painted the wall with yellow color. John colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
109,Mary painted the wall with yellow color. John colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
110,Mary painted the wall with yellow color. John colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
111,Mary painted the wall with yellow color. John colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
112,Mary painted the wall with green color. John colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
113,Mary painted the wall with green color. John colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
114,Mary painted the wall with green color. John colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
115,Mary painted the wall with green color. John colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
116,Mary painted the wall with green color. John colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
117,Mary painted the wall with green color. John colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
118,Mary painted the wall with green color. John colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
119,Mary painted the wall with green color. John colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
120,Mary painted the wall with green color. John colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
121,Mary painted the wall with green color. John colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears black in colour.,false,Type1-Colormixing
122,Mary painted the wall with red color. John colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
123,Mary painted the wall with red color. John colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,false,Type1-Colormixing
124,Mary painted the wall with red color. John colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
125,Mary painted the wall with red color. John colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears violet in colour.,false,Type1-Colormixing
126,Mary painted the wall with red color. John colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
127,Mary painted the wall with red color. John colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears orange in colour.,false,Type1-Colormixing
128,Mary painted the wall with red color. John colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
129,Mary painted the wall with red color. John colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears brown in colour.,false,Type1-Colormixing
130,Mary painted the wall with brown color. John colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
131,Mary painted the wall with brown color. John colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears brown in colour.,false,Type1-Colormixing
132,Mary painted the wall with brown color. John colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
133,Mary painted the wall with brown color. John colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears violet in colour.,false,Type1-Colormixing
134,Mary painted the wall with orange color. John colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
135,Mary painted the wall with orange color. John colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears brown in colour.,false,Type1-Colormixing
136,Mary painted the wall with orange color. John colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
137,Mary painted the wall with orange color. John colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,false,Type1-Colormixing
138,Mary painted the wall with orange color. John colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
139,Mary painted the wall with orange color. John colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears orange in colour.,false,Type1-Colormixing
140,Mary painted the wall with black color. John colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
141,Mary painted the wall with black color. John colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears red in colour.,false,Type1-Colormixing
142,Mary painted the wall with white color. John colored the wall using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
143,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears orange in colour.,false,Type1-Colormixing
144,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
145,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears black in colour.,false,Type1-Colormixing
146,Mary painted the canvas with blue color. John colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
147,Mary painted the canvas with blue color. John colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears violet in colour.,false,Type1-Colormixing
148,Mary painted the canvas with blue color. John colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears violet in colour.,true,Type1-Colormixing
149,Mary painted the canvas with blue color. John colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears green in colour.,false,Type1-Colormixing
150,Ana painted the ball with blue color. Allen colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
151,Ana painted the ball with blue color. Allen colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
152,Ana painted the ball with blue color. Allen colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
153,Ana painted the ball with blue color. Allen colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears violet in colour.,false,Type1-Colormixing
154,Ana painted the ball with blue color. Allen colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
155,Ana painted the ball with blue color. Allen colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears green in colour.,false,Type1-Colormixing
156,Ana painted the ball with blue color. Allen colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
157,Ana painted the ball with blue color. Allen colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears violet in colour.,false,Type1-Colormixing
158,Ana painted the ball with yellow color. Allen colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
159,Ana painted the ball with yellow color. Allen colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
160,Ana painted the ball with yellow color. Allen colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
161,Ana painted the ball with yellow color. Allen colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
162,Ana painted the ball with yellow color. Allen colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
163,Ana painted the ball with yellow color. Allen colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
164,Ana painted the ball with yellow color. Allen colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
165,Ana painted the ball with yellow color. Allen colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
166,Ana painted the ball with green color. Allen colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
167,Ana painted the ball with green color. Allen colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
168,Ana painted the ball with green color. Allen colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
169,Ana painted the ball with green color. Allen colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
170,Ana painted the ball with green color. Allen colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
171,Ana painted the ball with green color. Allen colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
172,Ana painted the ball with green color. Allen colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
173,Ana painted the ball with green color. Allen colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
174,Ana painted the ball with green color. Allen colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
175,Ana painted the ball with green color. Allen colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears black in colour.,false,Type1-Colormixing
176,Ana painted the ball with red color. Allen colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
177,Ana painted the ball with red color. Allen colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,false,Type1-Colormixing
178,Ana painted the ball with red color. Allen colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
179,Ana painted the ball with red color. Allen colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears violet in colour.,false,Type1-Colormixing
180,Ana painted the ball with red color. Allen colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
181,Ana painted the ball with red color. Allen colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears orange in colour.,false,Type1-Colormixing
182,Ana painted the ball with red color. Allen colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears red in colour.,true,Type1-Colormixing
183,Ana painted the ball with red color. Allen colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears brown in colour.,false,Type1-Colormixing
